epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.35912,0.92909,4.11591,1.13486,0.00153,0.32143,0.05211,0.04796,0.48244,3.88955,0.86746,6.426e-05,2.142e-05,6.426e-05,2.142e-05,6.426e-05,2.142e-05,6.426e-05,2.142e-05
2,9.25895,0.9528,4.21115,1.12522,0.0015,0.32143,0.03724,0.03426,0.47589,3.90206,0.87133,0.000146971,4.89904e-05,0.000146971,4.89904e-05,0.000146971,4.89904e-05,0.000146971,4.89904e-05
3,13.9505,0.95516,4.14297,1.13966,0.00151,0.32143,0.06708,0.0626,0.47948,3.90461,0.87922,0.000226289,7.54298e-05,0.000226289,7.54298e-05,0.000226289,7.54298e-05,0.000226289,7.54298e-05
4,17.7414,0.95666,4.14573,1.15902,0.00152,0.32143,0.06178,0.05886,0.48476,3.89349,0.88252,0.000302215,0.000100738,0.000302215,0.000100738,0.000302215,0.000100738,0.000302215,0.000100738
5,20.1784,0.94925,4.11604,1.15248,0.00155,0.32143,0.05302,0.03839,0.50038,3.93978,0.89292,0.000374747,0.000124916,0.000374747,0.000124916,0.000374747,0.000124916,0.000374747,0.000124916
6,22.4309,0.89966,4.07512,1.1374,0.00158,0.32143,0.02816,0.02616,0.50718,3.92863,0.89627,0.000443887,0.000147962,0.000443887,0.000147962,0.000443887,0.000147962,0.000443887,0.000147962
7,24.6791,0.84395,4.06597,1.07277,0.00152,0.32143,0.10037,0.06476,0.47088,3.87966,0.86518,0.000509633,0.000169878,0.000509633,0.000169878,0.000509633,0.000169878,0.000509633,0.000169878
8,28.8455,0.81206,4.03013,1.04872,0.0015,0.32143,0.08892,0.07826,0.45892,3.83811,0.86665,0.000571987,0.000190662,0.000571987,0.000190662,0.000571987,0.000190662,0.000571987,0.000190662
9,31.1047,0.81298,4.05744,1.06147,0.00148,0.32143,0.06377,0.0591,0.44688,3.82698,0.8577,0.000630948,0.000210316,0.000630948,0.000210316,0.000630948,0.000210316,0.000630948,0.000210316
10,33.6823,0.8775,4.08442,1.05553,0.00149,0.32143,0.07036,0.05866,0.43918,3.82705,0.85232,0.000686515,0.000228838,0.000686515,0.000228838,0.000686515,0.000228838,0.000686515,0.000228838
11,36.1582,0.89144,4.00988,1.1193,0.00192,0.39286,0.06655,0.0518,0.42276,3.83241,0.84486,0.00073869,0.00024623,0.00073869,0.00024623,0.00073869,0.00024623,0.00073869,0.00024623
12,38.5124,0.72081,3.99237,1.03007,0.00158,0.32143,0.03643,0.03028,0.39889,3.82657,0.83943,0.000787472,0.000262491,0.000787472,0.000262491,0.000787472,0.000262491,0.000787472,0.000262491
13,40.8073,0.7517,3.9987,1.00556,0.00158,0.32143,0.0321,0.02378,0.37825,3.81841,0.83492,0.000832861,0.00027762,0.000832861,0.00027762,0.000832861,0.00027762,0.000832861,0.00027762
14,44.2128,0.72569,3.8779,1.01388,0.00157,0.32143,0.0355,0.03029,0.36345,3.81145,0.83166,0.000874857,0.000291619,0.000874857,0.000291619,0.000874857,0.000291619,0.000874857,0.000291619
15,47.2893,0.66228,3.89172,0.96967,0.00156,0.32143,0.03964,0.02876,0.33849,3.79729,0.8266,0.00091346,0.000304487,0.00091346,0.000304487,0.00091346,0.000304487,0.00091346,0.000304487
16,49.3816,0.70076,3.93095,0.96406,0.00155,0.32143,0.04988,0.03633,0.34335,3.79519,0.82456,0.00094867,0.000316223,0.00094867,0.000316223,0.00094867,0.000316223,0.00094867,0.000316223
17,51.7452,0.66708,3.85512,0.99535,0.00156,0.32143,0.04715,0.03922,0.35954,3.78804,0.82609,0.000980488,0.000326829,0.000980488,0.000326829,0.000980488,0.000326829,0.000980488,0.000326829
18,54.2103,0.63589,3.88622,0.9528,0.0019,0.35714,0.06036,0.05959,0.36355,3.75981,0.83458,0.00100891,0.000336304,0.00100891,0.000336304,0.00100891,0.000336304,0.00100891,0.000336304
19,57.6113,0.61498,3.84188,0.91885,0.00271,0.54762,0.07497,0.07321,0.35601,3.75199,0.83427,0.00103394,0.000344648,0.00103394,0.000344648,0.00103394,0.000344648,0.00103394,0.000344648
20,59.9131,0.6624,3.83015,0.95587,0.0027,0.54762,0.07556,0.07374,0.35982,3.74507,0.8341,0.00105558,0.000351861,0.00105558,0.000351861,0.00105558,0.000351861,0.00105558,0.000351861
21,62.3634,0.60035,3.79986,0.92783,0.00333,0.63095,0.18008,0.17598,0.3601,3.6993,0.83701,0.00107383,0.000357942,0.00107383,0.000357942,0.00107383,0.000357942,0.00107383,0.000357942
22,64.6644,0.65053,3.80199,0.93311,0.00377,0.77381,0.17883,0.17556,0.35042,3.68498,0.8364,0.00108868,0.000362893,0.00108868,0.000362893,0.00108868,0.000362893,0.00108868,0.000362893
23,66.491,0.63593,3.76317,0.98287,0.00373,0.77381,0.21,0.20688,0.35301,3.65442,0.8408,0.00110014,0.000366713,0.00110014,0.000366713,0.00110014,0.000366713,0.00110014,0.000366713
24,68.5993,0.63246,3.67885,0.97509,0.00377,0.77381,0.2476,0.24449,0.35527,3.63474,0.83895,0.00110821,0.000369402,0.00110821,0.000369402,0.00110821,0.000369402,0.00110821,0.000369402
25,71.5173,0.61008,3.68025,0.93199,0.00417,0.84524,0.31926,0.31678,0.347,3.61205,0.83882,0.00111288,0.00037096,0.00111288,0.00037096,0.00111288,0.00037096,0.00111288,0.00037096
