epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,49.3705,0.9017,4.11237,1.1374,0.01319,0.35714,0.15219,0.1277,0.60384,3.76894,0.93307,4.284e-05,1.428e-05,4.284e-05,1.428e-05,4.284e-05,1.428e-05,4.284e-05,1.428e-05
2,51.2247,0.85911,4.13333,1.14687,0.01319,0.35714,0.14844,0.12957,0.60492,3.76144,0.93305,0.000104979,3.49931e-05,0.000104979,3.49931e-05,0.000104979,3.49931e-05,0.000104979,3.49931e-05
3,52.9315,0.80031,4.15649,1.07116,0.01292,0.35714,0.12231,0.10793,0.59015,3.76002,0.93183,0.000164574,5.4858e-05,0.000164574,5.4858e-05,0.000164574,5.4858e-05,0.000164574,5.4858e-05
4,54.7306,0.9179,4.17197,1.12042,0.01289,0.35714,0.11996,0.10678,0.58677,3.75774,0.93186,0.000221624,7.38747e-05,0.000221624,7.38747e-05,0.000221624,7.38747e-05,0.000221624,7.38747e-05
5,58.4389,0.92601,4.09542,1.18281,0.01299,0.35714,0.12478,0.1085,0.59,3.75588,0.92562,0.00027613,9.20432e-05,0.00027613,9.20432e-05,0.00027613,9.20432e-05,0.00027613,9.20432e-05
6,60.7573,0.88529,4.13431,1.11441,0.01295,0.35714,0.17586,0.16,0.5747,3.75534,0.91611,0.00032809,0.000109363,0.00032809,0.000109363,0.00032809,0.000109363,0.00032809,0.000109363
7,62.6355,0.82033,4.19989,1.07494,0.01266,0.35714,0.18826,0.16408,0.56044,3.74831,0.9116,0.000377506,0.000125835,0.000377506,0.000125835,0.000377506,0.000125835,0.000377506,0.000125835
8,64.9167,0.7779,4.06905,1.07311,0.01259,0.35714,0.23074,0.19572,0.55023,3.75102,0.90711,0.000424377,0.000141459,0.000424377,0.000141459,0.000424377,0.000141459,0.000424377,0.000141459
9,67.0186,0.82001,4.12135,1.08421,0.01217,0.35714,0.26094,0.22146,0.54279,3.75758,0.90376,0.000468704,0.000156235,0.000468704,0.000156235,0.000468704,0.000156235,0.000468704,0.000156235
10,68.7564,0.75237,4.02709,1.05427,0.01214,0.35714,0.24477,0.2089,0.53698,3.7644,0.90536,0.000510486,0.000170162,0.000510486,0.000170162,0.000510486,0.000170162,0.000510486,0.000170162
